codigoNacional;idEquipo;idPista;momento;ts;td;tMin12Horas;tMax12Horas;tMin24Horas;tMax24Horas;horaTMin12Horas;horaTMax12Horas;horaTMin24Horas;horaTMax24Horas;ts02;ts10;ts30;momentoRegistro;tsMed15m;tsMax15m;tsMin15m;tsSupMax15m;tsSupMed15m;tsSupMin15m;tMin1M;tMax1M
330075;0;;2023-04-01 00:00:00;20.2;-1.2;;;;;;;;;;;;2023-04-01 00:20:22;;21.3;20.1;;;;;
330075;0;;2023-04-01 00:20:00;19.6;-1.7;;;;;;;;;;;;2023-04-01 01:20:25;;20.6;19.6;;;;;
330075;0;;2023-04-01 00:40:00;19.4;-1.9;;;;;;;;;;;;2023-04-01 01:20:25;;19.9;19.1;;;;;
330075;0;;2023-04-01 01:00:00;18.6;-1.7;;;;;;;;;;;;2023-04-01 01:20:25;;19.7;18.4;;;;;
330075;0;;2023-04-01 01:20:00;17.6;-1.9;;;;;;;;;;;;2023-04-01 02:20:37;;18.6;17.6;;;;;
330075;0;;2023-04-01 01:40:00;17.5;-1.8;;;;;;;;;;;;2023-04-01 02:20:37;;17.9;17.5;;;;;
330075;0;;2023-04-01 02:00:00;17.3;-1.9;;;;;;;;;;;;2023-04-01 02:20:37;;17.8;17.3;;;;;
330075;0;;2023-04-01 02:20:00;17.3;-1.7;;;;;;;;;;;;2023-04-01 03:20:24;;17.6;17.1;;;;;
330075;0;;2023-04-01 02:40:00;17.2;-1.8;;;;;;;;;;;;2023-04-01 03:20:24;;17.4;17.0;;;;;
330075;0;;2023-04-01 03:00:00;17.0;-1.9;;;;;;;;;;;;2023-04-01 03:20:24;;17.4;16.9;;;;;
330075;0;;2023-04-01 03:20:00;16.7;-2.2;;;;;;;;;;;;2023-04-01 04:35:25;;17.3;16.7;;;;;
330075;0;;2023-04-01 03:40:00;16.1;-2.1;;;;;;;;;;;;2023-04-01 04:35:25;;17.0;16.0;;;;;
330075;0;;2023-04-01 04:00:00;16.2;-2.3;;;;;;;;;;;;2023-04-01 04:35:25;;16.4;15.9;;;;;
330075;0;;2023-04-01 04:20:00;15.8;-2.5;;;;;;;;;;;;2023-04-01 05:20:23;;16.2;15.6;;;;;
330075;0;;2023-04-01 04:40:00;15.6;-2.6;;;;;;;;;;;;2023-04-01 05:20:23;;16.3;15.6;;;;;
330075;0;;2023-04-01 05:00:00;15.4;-2.1;;;;;;;;;;;;2023-04-01 05:20:23;;15.8;15.1;;;;;
330075;0;;2023-04-01 05:20:00;15.0;-2.8;;;;;;;;;;;;2023-04-01 06:20:22;;15.6;15.0;;;;;
330075;0;;2023-04-01 05:40:00;14.8;-2.9;;;;;;;;;;;;2023-04-01 06:20:22;;15.4;14.8;;;;;
330075;0;;2023-04-01 06:00:00;14.6;-3.2;;;;;;;;;;;;2023-04-01 06:20:22;;15.1;14.6;;;;;
